subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,phi,d,w1,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
29280,73,133.24962279667847,132.44176211360696,4,4,274.49924559335693,272.8835242272139,283.6610833579505,282.04536199180745,-1.6157213661430205,-1.6157213661430205,0.8627464348551634,0.055134667561832544,0.13133526861362638,1.4042240721278578,0.9197646988654501,1.1452972602388514,0.9278115611888066,1.1872312670684784,True,True
29281,96,139.19962441386366,140.48197993520682,4,4,286.3992488277273,288.96395987041365,296.6566415935987,299.221352636285,2.5647110426863264,2.5647110426863264,0.3101873800153477,0.08275243275597263,0.004950890372270453,0.8258815356680799,0.9244583306037348,0.7995604820582052,0.9202418395091428,0.7741325000822754,True,True
29303,127,228.61409804132612,223.85990945712558,4,4,465.22819608265223,455.71981891425116,476.6049444284866,467.0965672600855,-9.508377168401069,-9.508377168401069,0.8755576855686162,0.08010117767163129,0.11573440081728698,0.7923148105433352,0.46250811378234863,0.8195147656005652,0.46493775769798884,0.7673495797915179,True,True
29305,115,131.48294356623694,131.45835765950082,4,4,270.9658871324739,270.91671531900164,281.94561564592686,281.8964438324546,-0.049171813472241865,-0.049171813472241865,0.6196130513830465,0.04208376833948664,0.05718497819638177,1.0814170829109302,0.7872652489425481,0.6925860911888211,0.787041283125397,0.6900587757012163,True,True
29306,172,191.38923042124324,189.93333913549446,4,4,390.7784608424865,387.8666782709889,403.3684387497403,400.4566561782427,-2.911782571497554,-2.911782571497554,0.9999995231616065,4.790385709618938e-07,0.024747708032992168,1.28229899179877,0.404699999999831,1.0423812919770776,0.4046999999997523,1.2020159026657773,True,True
29307,104,117.09157967239469,114.63441843479927,4,4,242.18315934478937,237.26883686959854,252.76072294135486,247.84640046616403,-4.914322475190829,-4.914322475190829,0.9999999999998457,0.004439439493548857,0.07848819713887577,1.6728538308591947,0.8046496232056934,0.9744679797022514,0.80465,1.1754141608927813,True,True
29310,75,177.15264361390877,176.46770814085068,4,4,362.30528722781753,360.93541628170135,371.5752396819628,370.2053687358466,-1.3698709461161798,-1.3698709461161798,0.4884708290666984,0.17339535595443914,0.19602892177452635,1.2284059921511101,0.42690785236377143,1.054806733609915,0.4351124965045383,1.1031267761184245,True,True
29318,101,201.86652839226076,196.97691538841732,4,4,411.7330567845215,401.95383077683465,422.19353885188656,412.4143128441997,-9.779226007686873,-9.779226007686873,0.8640171161855525,0.10553047350944678,0.24895345023539148,1.7914143936055427,0.8076736198261331,0.8962448458881958,0.8394728777505776,0.900585233595542,True,True
29326,132,248.97593294900665,253.84312040097896,4,4,505.9518658980133,515.6862408019579,517.4830735883588,527.2174484923034,9.73437490394457,9.734374903944627,0.10396997963627512,0.28254217347333005,0.17576187989594574,0.8764158377392052,0.619097746349342,0.7596303967818598,0.6031852050268537,0.7043624934107039,True,True
29328,115,151.99744013891083,145.92375045845017,4,4,311.99488027782166,299.84750091690034,322.97460879127465,310.8272294303533,-12.14737936092132,-12.14737936092132,0.9999999999997654,0.02539557802585357,0.15811072654823513,2.354776080351613,0.681149465513373,0.9035631779504117,0.6811494655134165,1.1291005958946416,True,True
