subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_F,fear_tau,fear_s
29220,83,147.51100203125236,155.52538015401336,26,26,347.0220040625047,363.0507603080267,409.9118598652163,425.9406161107383,16.028756245522004,16.028756245522004,True,True,0.5,0.11973327809934964,1.0,-0.8,0.25,0.2753073317149833,2.6,1.0,-0.8,0.25
29221,149,237.84730073720655,241.93335442898206,26,26,527.694601474413,535.8667088579641,605.7972054289951,613.969312812546,8.172107383551065,8.172107383550951,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.2303613093450926,2.6,1.0,-0.8,0.25
29227,85,142.953030426143,143.33367379638398,24,24,333.906060852286,334.66734759276795,392.5296910080536,393.29097774853557,0.7612867404819781,0.7612867404819781,True,True,0.5,0.10000056200650517,1.0,-0.8,0.25,0.24588760649488803,2.6,1.0,-0.8,0.25
29230,194,211.81219230886532,203.77870677737235,26,26,475.62438461773064,459.5574135547447,560.5886967533772,544.5217256903912,-16.066971062985942,-16.066971062986,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.12330986448141396,2.6,1.0,-0.8,0.25
29245,73,92.46158547574993,78.06480385392112,26,26,236.92317095149986,208.12960770784224,296.47511642135805,267.6815531777004,-28.793563243657616,-28.793563243657673,True,True,0.5,0.10000056529093719,1.0,-0.8,0.25,0.15464123771701235,2.6,1.0,-0.8,0.25
29280,73,130.3525338695643,134.7609398002657,21,21,302.7050677391286,311.5218796005314,350.80471600324483,359.62152786464765,8.816811861402812,8.816811861402812,True,True,0.5,0.11949096882666703,1.0,-0.8,0.25,0.2713334943676086,2.6,1.0,-0.8,0.25
29281,96,139.59930683292149,146.10547054653654,26,26,331.19861366584297,344.2109410930731,397.8716666440067,410.8839940712368,13.012327427230105,13.012327427230105,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.17934254255264861,2.6,1.0,-0.8,0.25
29303,127,219.44973065648725,243.07749469353809,26,26,490.8994613129745,538.1549893870762,564.8483255608978,612.1038536349995,47.255528074101676,47.255528074101676,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.21691573542465978,2.6,1.0,-0.8,0.25
29305,115,137.67975854250147,126.3263632888888,26,26,327.35951708500295,304.65272657777757,398.72775242244745,376.0209619152221,-22.706790507225378,-22.706790507225378,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.12989397866464023,2.6,1.0,-0.8,0.25
29306,172,200.25901166584157,168.1909194433715,26,26,452.51802333168314,388.381838886743,534.3528797288329,470.2166952838928,-64.13618444494011,-64.13618444494011,True,True,0.5,0.10000056529093719,1.0,-0.8,0.25,0.10000000000023797,2.6,1.0,-0.8,0.25
29307,104,116.49398752930568,103.78559449440887,26,26,284.98797505861137,259.57118898881777,353.74213843628706,328.3253523664934,-25.416786069793602,-25.41678606979366,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.16539535609741277,2.6,1.0,-0.8,0.25
29310,75,167.42189853774764,176.35255558491062,20,20,374.8437970754953,392.70511116982124,421.1935593462215,439.05487344054745,17.861314094325962,17.861314094325962,True,True,0.5,0.15876027404560464,1.0,-0.8,0.25,0.31890515360394345,2.6,1.0,-0.8,0.25
29318,101,196.21393492124653,194.0069033218298,25,25,442.42786984249307,438.0138066436596,507.80588276352455,503.3918195646911,-4.414063198833446,-4.414063198833446,True,True,0.5,0.14944376453173205,1.0,-0.8,0.25,0.2983753459232471,2.6,1.0,-0.8,0.25
29326,132,252.7941463366707,282.6180726069784,26,26,557.5882926733414,617.2361452139568,632.5411426605871,692.1889952012024,59.64785254061542,59.647852540615304,True,True,0.5,0.14042459719387906,1.0,-0.8,0.25,0.2896250538633108,2.6,1.0,-0.8,0.25
29328,115,150.11673858488552,131.78786442885783,26,26,352.23347716977105,315.57572885771566,423.60171250721555,386.94396419516016,-36.65774831205539,-36.65774831205539,True,True,0.5,0.10000056653003701,1.0,-0.8,0.25,0.1600537872744854,2.6,1.0,-0.8,0.25
